"的","de","притяжательная частица, суффикс прилагательного"
"一","yī","один; единица; первый"
"是","shì","быть, являться; да, верно; этот, тот"
"不","bù","не, нет; отрицательная приставка"
"了","le","частица завершённого действия; заканчивать"
"在","zài","находиться в, на; состоять в"
"人","rén","человек; люди; человечество"
"有","yǒu","иметь, обладать; существовать"
"我","wǒ","я, мы; мой, наш"
"他","tā","он; другой, иной"
"这","zhè","этот, эта, это; здесь"
"个","gè","счётное слово; единица, штука"
"们","men","суффикс множественного числа местоимений"
"中","zhōng","центр, середина; среди, в; попадать"
"来","lái","приходить, прибывать; возвращаться"
"上","shàng","верх; подниматься; идти; предыдущий"
"大","dà","большой, великий, крупный; сильно"
"和","hé","и, с; гармония, мир; сумма"
"国","guó","страна, государство, нация"
"说","shuō","говорить, сказать; объяснять"
"时","shí","время, период, эпоха, сезон"
"出","chū","выходить; выпускать; производить"
"会","huì","уметь, мочь; встреча; собрание"
"你","nǐ","ты, вы (2-е лицо)"
"对","duì","правильный, верный; к, для; пара"
"生","shēng","жизнь; рождаться; живой; ученик"
"能","néng","мочь, быть в состоянии; способность"
"子","zǐ","ребёнок; сын; плод, семя; суффикс"
"那","nà","тот, та, то; тогда"
"下","xià","низ, под; спускаться; следующий"
"年","nián","год; возраст; урожай"
"后","hòu","после, позади; задний; королева"
"作","zuò","делать, работать; писать; выступать"
"里","lǐ","в, внутри; ли (мера длины); деревня"
"家","jiā","дом, семья; специалист"
"多","duō","много, более; многие; насколько"
"么","me","вопросительная частица; суффикс"
"去","qù","идти, уходить; прошлый; удалять"
"学","xué","учиться, изучать; знание; школа"
"都","dōu","все, всё; уже; даже; столица"
"同","tóng","одинаковый; вместе с; и, с"
"现","xiàn","сейчас, теперь; появляться"
"没","méi","не иметь; нет; не (отрицание)"
"面","miàn","лицо; поверхность; сторона; мука"
"起","qǐ","вставать; подниматься; начинать"
"看","kàn","смотреть, видеть; читать; полагать"
"天","tiān","небо; день; природа; небесный"
"分","fēn","делить; минута; часть; очко; балл"
"好","hǎo","хороший; хорошо; легко; привет"
"小","xiǎo","маленький, мелкий; недолго"
"些","xiē","несколько, немного; некоторые"
"样","yàng","вид, форма, образец; сорт, тип"
"她","tā","она"
"本","běn","корень; основа; данный; счётное слово для книг"
"前","qián","перед, до; предыдущий; впереди"
"开","kāi","открывать; начинать; вести; вскипятить"
"想","xiǎng","думать; хотеть; скучать; полагать"
"机","jī","машина; самолёт; момент; случай"
"十","shí","десять; десятый; полный"
"工","gōng","работа; рабочий; труд; проект"
"明","míng","яркий, светлый; ясный; понимать; завтра"
"三","sān","три; третий; несколько"
"关","guān","закрывать; выключать; касаться; проход"
"点","diǎn","точка; капля; час; заказывать; зажигать"
"高","gāo","высокий; дорогой; громкий; рост"
"很","hěn","очень; довольно"
"见","jiàn","видеть, встречать; показываться; мнение"
"什","shén","что? какой?; смешанный"
"二","èr","два; второй; двойной"
"果","guǒ","фрукт; результат; решительный"
"西","xī","запад; западный; европейский"
"月","yuè","луна; месяц; ежемесячный"
"话","huà","речь; язык; слова; разговор"
"回","huí","возвращаться; раз; отвечать; поворачивать"
"老","lǎo","старый; опытный; всегда; очень"
"先","xiān","сначала; первый; предок; раньше"
"儿","ér","ребёнок; сын; суффикс существительных"
"东","dōng","восток; восточный; хозяин"
"水","shuǐ","вода; жидкость; река; вода (минеральная)"
"名","míng","имя; известный; слава; количество"
"几","jǐ","сколько?; несколько; какой?; столик"
"认","rèn","узнавать; признавать; понимать"
"系","xì","система; отдел; факультет; связь; завязывать"
"气","qì","воздух; газ; дыхание; гнев; энергия"
"打","dǎ","бить; играть; звонить; покупать; делать"
"女","nǚ","женщина; женский; дочь"
"四","sì","четыре; четвёртый"
"电","diàn","электричество; молния; теле-"
"少","shǎo","мало; недоставать; молодой"
"太","tài","слишком; очень; великий;высочайший"
"再","zài","снова; ещё; тогда; затем"
"做","zuò","делать; заниматься; готовить; быть"
"期","qī","период; срок; номер; ожидать"
"五","wǔ","пять; пятый"
"书","shū","книга; писать; письмо; документ"
"听","tīng","слушать, слышать; слушаться; банка"
"住","zhù","жить, проживать; останавливаться; глагольный суффикс"
"北","běi","север; северный"
"觉","jué","чувствовать; осознавать; проснуться; спать"
"师","shī","учитель; мастер; специалист; наставник"
"今","jīn","сегодня; сейчас; современный"
"院","yuàn","двор; учреждение; институт; больница"
"识","shí","знать, понимать; узнавать; знание"
"候","hòu","ждать; время; сезон; состояние; приветствовать"
"飞","fēi","летать; быстро; высокий; бесплатный"
"车","chē","машина; транспорт; тележка; автомобиль"
"服","fú","одежда; носить; принимать (лекарство); служить"
"怎","zěn","как?; почему?; какой?"
"呢","ne","вопросительная частица; частица продолжения"
"叫","jiào","звать, называть; кричать; заказывать"
"影","yǐng","тень; отражение; фотография; фильм; изображение"
"字","zì","иероглиф; слово; буква; почерк"
"爱","ài","любить; любимый; дорожить; склонность"
"商","shāng","торговля; бизнес; купец; советоваться"
"请","qǐng","просить; приглашать; пожалуйста; угощать"
"视","shì","смотреть; осматривать; рассматривать; видеть"
"九","jiǔ","девять; девятый"
"写","xiě","писать; рисовать; описывать; сочинять"
"八","bā","восемь; восьмой"
"吗","ma","вопросительная частица"
"吃","chī","есть, кушать; питаться; страдать; получать"
"六","liù","шесть; шестой"
"医","yī","врач; медицина; лечить"
"号","hào","номер; знак; размер; название; день"
"语","yǔ","язык; речь; говор; пословица"
"七","qī","семь; седьмой"
